Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;240;28,35873432;41,12220669;4,538663191;4,784911678;3,586698696;3,7835682;9,637223833;14,96567652
67388;241;28,31629821;41,06067127;4,541036571;4,787413827;3,588678966;3,785657165;9,629536229;14,95357919
67388;242;28,27402067;40,9993658;4,543415047;4,789921349;3,590654394;3,787741022;9,621879679;14,94153062
67388;243;28,23190152;40,93829;4,545798585;4,792434208;3,592624993;3,789819785;9,614254228;14,92953087
67388;244;28,18994058;40,87744361;4,548187152;4,794952368;3,594590775;3,791893466;9,606659922;14,91758002
67388;245;28,14813767;40,81682638;4,550580714;4,797475795;3,596551752;3,793962079;9,599096801;14,90567811
67388;246;28,10649258;40,756438;4,552979238;4,800004453;3,598507937;3,796025636;9,591564908;14,89382523
67388;247;28,06500513;40,69627822;4,555382692;4,802538308;3,600459341;3,79808415;9,584064282;14,88202142
67388;248;28,02367512;40,63634672;4,557791044;4,805077326;3,602405977;3,800137635;9,576594963;14,87026674
67388;249;27,98250233;40,57664321;4,560204262;4,807621475;3,604347857;3,802186102;9,569156989;14,85856126
67388;250;27,94148656;40,5171674;4,562622315;4,810170722;3,606284994;3,804229566;9,561750396;14,84690502
67388;251;27,9006276;40,45791896;4,565045173;4,812725034;3,608217399;3,806268039;9,554375221;14,83529808
67388;252;27,85992522;40,39889758;4,567472806;4,815284379;3,610145087;3,808301535;9,547031497;14,82374049
67388;253;27,81937921;40,34010294;4,569905183;4,817848727;3,612068067;3,810330066;9,539719258;14,8122323
67388;254;27,77898933;40,28153471;4,572342276;4,820418046;3,613986354;3,812353645;9,532438537;14,80077356
67388;255;27,73875536;40,22319255;4,574784056;4,822992307;3,615899959;3,814372286;9,525189366;14,78936431
